 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Methane (gas)

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 0.48%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.50 GeV   2.455E-03  3.627E-07   12.38 km   437.41 m    167.64 m   
   1.60 GeV   2.441E-03  3.414E-07   13.45 km   463.19 m    179.21 m   
   1.70 GeV   2.430E-03  3.225E-07   14.53 km   487.87 m    190.55 m   
   1.80 GeV   2.421E-03  3.057E-07   15.61 km   511.56 m    201.66 m   
   2.00 GeV   2.410E-03  2.769E-07   17.78 km   597.03 m    223.24 m   
   2.25 GeV   2.404E-03  2.480E-07   20.50 km   710.89 m    249.05 m   
   2.50 GeV   2.404E-03  2.246E-07   23.22 km   809.14 m    273.64 m   
   2.75 GeV   2.407E-03  2.054E-07   25.94 km   896.59 m    297.10 m   
   3.00 GeV   2.414E-03  1.893E-07   28.66 km   975.93 m    319.52 m   
   3.25 GeV   2.422E-03  1.756E-07   31.37 km     1.05 km   341.00 m   
   3.50 GeV   2.431E-03  1.637E-07   34.06 km     1.12 km   361.61 m   
   3.75 GeV   2.441E-03  1.535E-07   36.75 km     1.18 km   381.41 m   
   4.00 GeV   2.452E-03  1.444E-07   39.43 km     1.24 km   400.47 m   
   4.50 GeV   2.474E-03  1.293E-07   44.74 km     1.45 km   436.60 m   
   5.00 GeV   2.496E-03  1.171E-07   50.01 km     1.63 km   470.39 m   
   5.50 GeV   2.518E-03  1.070E-07   55.24 km     1.79 km   502.14 m   
   6.00 GeV   2.540E-03  9.860E-08   60.41 km     1.94 km   532.12 m   
   6.50 GeV   2.561E-03  9.144E-08   65.55 km     2.07 km   560.52 m   
   7.00 GeV   2.581E-03  8.527E-08   70.64 km     2.19 km   587.53 m   
   8.00 GeV   2.619E-03  7.519E-08   80.71 km     2.61 km   637.95 m   
   9.00 GeV   2.655E-03  6.728E-08   90.64 km     2.97 km   684.30 m   
  10.00 GeV   2.687E-03  6.092E-08  100.45 km     3.28 km   727.27 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.8174E-03                 eV / Angstrom 
  3.8174E-02                keV / micron   
  3.8174E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  5.3280E+00                 eV / (1E15 atoms/cm2)
  2.1183E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
